Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 258.500022 segundos
         2791538 function calls (2791187 primitive calls) in 258.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2240    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      515    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      516    0.000    0.000    0.000    0.000 socket.py:96(<lambda>)
      513    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
     1264    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
     2201    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       44    0.000    0.000    0.000    0.000 connection.py:398(_send)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       51    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        2    0.000    0.000    0.000    0.000 __init__.py:361(namedtuple)
       49    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:287(compile)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
       44    0.000    0.000    0.000    0.000 {built-in method posix.write}
        1    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
      157    0.000    0.000    0.000    0.000 enum.py:811(__setattr__)
        1    0.000    0.000    0.000    0.000 _compiler.py:757(compile)
1316/1314    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:992(create_module)
      547    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 __init__.py:175(CompressionParameter)
       33    0.000    0.000    0.000    0.000 enum.py:1041(_add_member_)
       62    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      153    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        8    0.000    0.000    0.000    0.000 connection.py:563(Pipe)
      578    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      133    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
       17    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 util.py:257(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       44    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
      567    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
        4    0.000    0.000    0.000    0.000 process.py:149(join)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1059(exec_module)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
      640    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 _parser.py:963(parse)
      164    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 util.py:504(_flush_std_streams)
       10    0.000    0.000    0.000    0.000 popen_fork.py:25(poll)
        1    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:665(spec_from_loader)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      633    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
      280    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
      2/1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
       32    0.000    0.000    0.000    0.000 {built-in method posix.close}
        8    0.000    0.000    0.000    0.000 socket.py:659(socketpair)
        1    0.000    0.000    0.000    0.000 _streams.py:1(<module>)
        4    0.000    0.000    0.000    0.000 popen_fork.py:37(wait)
       73    0.000    0.000    0.000    0.000 pickle.py:190(<genexpr>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:222(Strategy)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      153    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
       10    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        3    0.000    0.000    0.000    0.000 enum.py:466(__prepare__)
        4    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       88    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
       27    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      336    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      2/1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
      280    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
       16    0.000    0.000    0.000    0.000 connection.py:393(_close)
        4    0.000    0.000    0.000    0.000 util.py:276(__call__)
       16    0.000    0.000    0.000    0.000 connection.py:134(__del__)
        1    0.000    0.000    0.000    0.000 threading.py:1393(__init__)
       39    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _zstdfile.py:1(<module>)
       47    0.000    0.000    0.000    0.000 enum.py:746(__delattr__)
      282    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        8    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        1    0.000    0.000    0.000    0.000 pickle.py:1250(_Unpickler)
      282    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      127    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
       44    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        3    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        4    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
      127    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       41    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 enum.py:1207(_add_alias_)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 enum.py:928(_get_mixins_)
        8    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_requires_builtin_wrapper)
       49    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 __init__.py:209(DecompressionParameter)
       44    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        2    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
      126    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.000    0.000 connection.py:177(close)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      109    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        4    0.000    0.000    0.000    0.000 util.py:532(close_fds)
       48    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      2/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 socket.py:218(socket)
        1    0.000    0.000    0.000    0.000 subprocess.py:759(Popen)
       36    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      2/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.000    0.000 enum.py:969(_find_data_type_)
      2/1    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
       88    0.000    0.000    0.000    0.000 connection.py:138(_check_closed)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        1    0.000    0.000    0.000    0.000 pickle.py:418(_Pickler)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        2    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
       90    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        8    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(_use_posix_spawn)
       78    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 threading.py:880(__init__)
       54    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
       73    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       63    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       95    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       63    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      102    0.000    0.000    0.000    0.000 enum.py:903(<lambda>)
       44    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       16    0.000    0.000    0.000    0.000 socket.py:224(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        3    0.000    0.000    0.000    0.000 enum.py:996(_find_new_)
        2    0.000    0.000    0.000    0.000 selectors.py:568(_can_use)
        1    0.000    0.000    0.000    0.000 threading.py:630(set)
       50    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 enum.py:1594(__and__)
        1    0.000    0.000    0.000    0.000 _streams.py:33(DecompressReader)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:166(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       60    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
