Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 256.656799 segundos
         2791548 function calls (2791197 primitive calls) in 256.665 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       51    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
      516    0.000    0.000    0.000    0.000 socket.py:96(<lambda>)
      515    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
     2240    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       44    0.000    0.000    0.000    0.000 connection.py:398(_send)
      514    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      513    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
        4    0.000    0.000    0.000    0.000 process.py:149(join)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
       10    0.000    0.000    0.000    0.000 popen_fork.py:25(poll)
       44    0.000    0.000    0.000    0.000 {built-in method posix.write}
     2204    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:361(namedtuple)
        4    0.000    0.000    0.000    0.000 popen_fork.py:37(wait)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 _compiler.py:757(compile)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
       10    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
      157    0.000    0.000    0.000    0.000 enum.py:811(__setattr__)
       49    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
1316/1314    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 __init__.py:175(CompressionParameter)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
     1266    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
       33    0.000    0.000    0.000    0.000 enum.py:1041(_add_member_)
      547    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 connection.py:563(Pipe)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:992(create_module)
       62    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
       44    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
      578    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
      133    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1059(exec_module)
      153    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
        1    0.000    0.000    0.000    0.000 _parser.py:963(parse)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      567    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      641    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 util.py:504(_flush_std_streams)
       20    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 util.py:257(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
      164    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
      2/1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 __init__.py:222(Strategy)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        8    0.000    0.000    0.000    0.000 socket.py:659(socketpair)
      633    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        3    0.000    0.000    0.000    0.000 enum.py:466(__prepare__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
      153    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
      280    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _streams.py:1(<module>)
       88    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
      2/1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:665(spec_from_loader)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
       16    0.000    0.000    0.000    0.000 connection.py:393(_close)
       73    0.000    0.000    0.000    0.000 pickle.py:190(<genexpr>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       47    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      336    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      280    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method posix.close}
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        4    0.000    0.000    0.000    0.000 connection.py:177(close)
        1    0.000    0.000    0.000    0.000 __init__.py:209(DecompressionParameter)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1393(__init__)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        4    0.000    0.000    0.000    0.000 util.py:276(__call__)
       41    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
        1    0.000    0.000    0.000    0.000 _zstdfile.py:1(<module>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      282    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      282    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       44    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       47    0.000    0.000    0.000    0.000 enum.py:746(__delattr__)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       39    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 enum.py:928(_get_mixins_)
      127    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
       16    0.000    0.000    0.000    0.000 connection.py:134(__del__)
      127    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       36    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       44    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        2    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
        4    0.000    0.000    0.000    0.000 enum.py:1207(_add_alias_)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(_use_posix_spawn)
       49    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       48    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
      126    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        8    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      109    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 enum.py:969(_find_data_type_)
        1    0.000    0.000    0.000    0.000 subprocess.py:759(Popen)
       88    0.000    0.000    0.000    0.000 connection.py:138(_check_closed)
      2/1    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
        3    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        2    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        4    0.000    0.000    0.000    0.000 util.py:532(close_fds)
        1    0.000    0.000    0.000    0.000 pickle.py:1250(_Unpickler)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:477(CompletedProcess)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       90    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
       28    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 threading.py:880(__init__)
       54    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       95    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
        2    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
       16    0.000    0.000    0.000    0.000 socket.py:224(__init__)
       73    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       78    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      2/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       63    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       44    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        3    0.000    0.000    0.000    0.000 enum.py:996(_find_new_)
        1    0.000    0.000    0.000    0.000 socket.py:218(socket)
      2/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       63    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       50    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
